rank,pri_sch_name,latitude,longitude
83,SEMBAWANG PRIMARY SCHOOL,1.4450737155262,103.821042374036
84,CHIJ OUR LADY OF GOOD COUNSEL,1.35742952269615,103.864009397373
85,SENG KANG PRIMARY SCHOOL,1.38949740422462,103.899767112047
86,FERNVALE PRIMARY SCHOOL,1.39030227963797,103.874445458032
87,PASIR RIS PRIMARY SCHOOL,1.37241870245531,103.962807212116
88,QIHUA PRIMARY SCHOOL,1.4420359661233,103.788339756898
89,YUMIN PRIMARY SCHOOL,1.35129177656981,103.950461927088
90,CONCORD PRIMARY SCHOOL,1.38000806197242,103.736225440727
91,EVERGREEN PRIMARY SCHOOL,1.44415332824735,103.794577787757
92,TANJONG KATONG PRIMARY SCHOOL,1.30524084264265,103.900092702031
93,CORPORATION PRIMARY SCHOOL,1.35099779872539,103.707593724342
94,YIO CHU KANG PRIMARY SCHOOL,1.37793264345276,103.885643682171
95,XINGHUA PRIMARY SCHOOL,1.35790893589535,103.890472887906
96,CEDAR PRIMARY SCHOOL,1.3355885014312,103.87562104944
97,DE LA SALLE SCHOOL,1.3947078296399,103.743201812831
98,ENDEAVOUR PRIMARY SCHOOL,1.45403837499301,103.817436231731
99,KEMING PRIMARY SCHOOL,1.34552849960874,103.756449399351
100,BENDEMEER PRIMARY SCHOOL,1.32181250780475,103.865404167629
101,CHIJ (KELLOCK),1.275022722964,103.828157564896
102,FIRST TOA PAYOH PRIMARY SCHOOL,1.34032299499938,103.855529906182
103,JUNYUAN PRIMARY SCHOOL,1.34787054460119,103.939220722335
104,JURONG WEST PRIMARY SCHOOL,1.33917519796104,103.698803732244
105,BOON LAY GARDEN PRIMARY SCHOOL,1.34317853793318,103.713280889452
106,WEST VIEW PRIMARY SCHOOL,1.3836758200336,103.760240434318
107,ZHONGHUA PRIMARY SCHOOL,1.36020329705047,103.869762438084
108,GREENWOOD PRIMARY SCHOOL,1.43989958331782,103.804725587384
109,TAMPINES PRIMARY SCHOOL,1.34977870805929,103.944004684986
110,WEST GROVE PRIMARY SCHOOL,1.3448790560014,103.699286360581
111,JING SHAN PRIMARY SCHOOL,1.37223290983498,103.852132214306
112,HORIZON PRIMARY SCHOOL,1.399550034492,103.913404855665
113,EDGEFIELD PRIMARY SCHOOL,1.40009139510996,103.907847599114
114,KRANJI PRIMARY SCHOOL,1.39356050497104,103.747362720939
115,NORTH VISTA PRIMARY SCHOOL,1.38282243016299,103.895961877928
116,PIONEER PRIMARY SCHOOL,1.33902264667589,103.687769623983
117,NEW TOWN PRIMARY SCHOOL,1.29964188181021,103.80010216304
118,GAN ENG SENG PRIMARY SCHOOL,1.28559516494962,103.815547410064
119,STAMFORD PRIMARY SCHOOL,1.30345638467449,103.857453500579
120,MARYMOUNT CONVENT SCHOOL,1.34036676987375,103.840021064426
121,CHIJ (KATONG) PRIMARY,1.30648535277087,103.911105620496
122,MARSILING PRIMARY SCHOOL,1.43383904037059,103.773643013846
123,DAMAI PRIMARY SCHOOL,1.33546106800406,103.921270169613
124,YISHUN PRIMARY SCHOOL,1.43338602975674,103.834087115915
125,GREENDALE PRIMARY SCHOOL,1.39648195114256,103.91233462071
126,DAZHONG PRIMARY SCHOOL,1.3591797447277,103.74847210784
127,FUHUA PRIMARY SCHOOL,1.33650394789627,103.736103745748
128,NORTHLAND PRIMARY SCHOOL,1.42096989918951,103.840928424929
129,CHIJ OUR LADY QUEEN OF PEACE,1.366603668561,103.767412204602
130,CASUARINA PRIMARY SCHOOL,1.37246063927999,103.957020286115
131,BEDOK GREEN PRIMARY SCHOOL,1.32344593287992,103.937878976352
