address,nearest_pri_sch,nearest_pri_sch_dist
24 BEO CRESCENT,ALEXANDRA PRIMARY SCHOOL,0.5460105309559509
78 INDUS ROAD,ALEXANDRA PRIMARY SCHOOL,0.33654927776675053
55 TELOK BLANGAH DRIVE,BLANGAH RISE PRIMARY SCHOOL,0.45899972486621865
130 BUKIT MERAH VIEW,ZHANGDE PRIMARY SCHOOL,0.18197546969228826
122 BUKIT MERAH LANE 1,QUEENSTOWN PRIMARY SCHOOL,1.0738805437502377
80C TELOK BLANGAH STREET 31,BLANGAH RISE PRIMARY SCHOOL,0.3295162701937123
50 MOH GUAN TERRACE,ZHANGDE PRIMARY SCHOOL,0.5093438259953552
47 MOH GUAN TERRACE,ZHANGDE PRIMARY SCHOOL,0.5690126036731734
54 HAVELOCK ROAD,ALEXANDRA PRIMARY SCHOOL,0.5802635928519667
101 HENDERSON CRESCENT,ALEXANDRA PRIMARY SCHOOL,0.3190034677986752
23 TELOK BLANGAH CRESCENT,ZHANGDE PRIMARY SCHOOL,1.0640428892506069
106 HENDERSON CRESCENT,ALEXANDRA PRIMARY SCHOOL,0.31889787375156226
115 BUKIT PURMEI ROAD,ZHANGDE PRIMARY SCHOOL,0.9859163040142099
108 BUKIT PURMEI ROAD,ZHANGDE PRIMARY SCHOOL,1.202089794824429
106B DEPOT ROAD,BLANGAH RISE PRIMARY SCHOOL,0.5537267694508979
38 JALAN RUMAH TINGGI,GAN ENG SENG PRIMARY SCHOOL,0.6885817804703581
3 DELTA AVENUE,ALEXANDRA PRIMARY SCHOOL,0.32641387932759136
134 JALAN BUKIT MERAH,ZHANGDE PRIMARY SCHOOL,0.626789400841339
80A TELOK BLANGAH STREET 31,BLANGAH RISE PRIMARY SCHOOL,0.35320079108194524
27A JALAN MEMBINA,ZHANGDE PRIMARY SCHOOL,0.2709080947237546
75A REDHILL ROAD,GAN ENG SENG PRIMARY SCHOOL,0.23202082095868193
77A REDHILL ROAD,GAN ENG SENG PRIMARY SCHOOL,0.36043138287595655
57 HAVELOCK ROAD,ALEXANDRA PRIMARY SCHOOL,0.46755159752730757
48 LENGKOK BAHRU,GAN ENG SENG PRIMARY SCHOOL,0.4967356553853461
35 JALAN RUMAH TINGGI,GAN ENG SENG PRIMARY SCHOOL,0.7453863813881032
46 LENGKOK BAHRU,GAN ENG SENG PRIMARY SCHOOL,0.30698552568260457
67 TELOK BLANGAH DRIVE,BLANGAH RISE PRIMARY SCHOOL,0.19854537393502059
87 ZION ROAD,RIVER VALLEY PRIMARY SCHOOL,0.5440197408092007
1 DELTA AVENUE,ALEXANDRA PRIMARY SCHOOL,0.47021500550414935
214 PETIR ROAD,BUKIT PANJANG PRIMARY SCHOOL,0.6273913137020112
123 PENDING ROAD,ZHENGHUA PRIMARY SCHOOL,0.2936242112750645
249 BANGKIT ROAD,BEACON PRIMARY SCHOOL,0.32927492730165325
458 SEGAR ROAD,GREENRIDGE PRIMARY SCHOOL,0.43199456162615957
506 JELAPANG ROAD,GREENRIDGE PRIMARY SCHOOL,0.12690646848354187
621 SENJA ROAD,WEST VIEW PRIMARY SCHOOL,0.3790100625553954
402 FAJAR ROAD,ZHENGHUA PRIMARY SCHOOL,0.13343235585222382
419 FAJAR ROAD,GREENRIDGE PRIMARY SCHOOL,0.2980557111537867
526 JELAPANG ROAD,GREENRIDGE PRIMARY SCHOOL,0.29243072457397445
623 SENJA ROAD,WEST VIEW PRIMARY SCHOOL,0.3474062764356817
128 PENDING ROAD,BUKIT PANJANG PRIMARY SCHOOL,0.2660176276208866
204 PETIR ROAD,BUKIT PANJANG PRIMARY SCHOOL,0.607115231702605
473 SEGAR ROAD,BEACON PRIMARY SCHOOL,0.5022194344392109
237 BUKIT PANJANG RING ROAD,ZHENGHUA PRIMARY SCHOOL,0.2126793279955406
539 BUKIT PANJANG RING ROAD,WEST VIEW PRIMARY SCHOOL,0.34405629162505746
516 JELAPANG ROAD,GREENRIDGE PRIMARY SCHOOL,0.17852295825821995
65 CIRCUIT ROAD,CANOSSA CATHOLIC PRIMARY SCHOOL,0.5601625854561739
217 PETIR ROAD,BUKIT PANJANG PRIMARY SCHOOL,0.48584017516364336
218 PETIR ROAD,BUKIT PANJANG PRIMARY SCHOOL,0.4801954214804322
517 JELAPANG ROAD,WEST SPRING PRIMARY SCHOOL,0.16550778327328422
652 SENJA LINK,WEST SPRING PRIMARY SCHOOL,0.3419106907265317
624 SENJA ROAD,WEST VIEW PRIMARY SCHOOL,0.3227764943957862
629 SENJA ROAD,WEST VIEW PRIMARY SCHOOL,0.32282966233620813
455 SEGAR ROAD,GREENRIDGE PRIMARY SCHOOL,0.3681591903644418
176 LOMPANG ROAD,ZHENGHUA PRIMARY SCHOOL,0.3641534785362526
418 FAJAR ROAD,GREENRIDGE PRIMARY SCHOOL,0.21386367498379727
484 SEGAR ROAD,BEACON PRIMARY SCHOOL,0.5293349539970026
140 PETIR ROAD,BUKIT PANJANG PRIMARY SCHOOL,0.21326162513742072
152 GANGSA ROAD,BUKIT PANJANG PRIMARY SCHOOL,0.4232207601850095
537 BUKIT PANJANG RING ROAD,WEST VIEW PRIMARY SCHOOL,0.31782450303773624
401 FAJAR ROAD,ZHENGHUA PRIMARY SCHOOL,0.10177008534070903
242 BUKIT PANJANG RING ROAD,ZHENGHUA PRIMARY SCHOOL,0.3047336415849269
613 BUKIT PANJANG RING ROAD,WEST VIEW PRIMARY SCHOOL,0.20755055195655842
654 SENJA ROAD,WEST SPRING PRIMARY SCHOOL,0.27934662771776303
536 JELAPANG ROAD,WEST VIEW PRIMARY SCHOOL,0.3918768334558785
154 GANGSA ROAD,BUKIT PANJANG PRIMARY SCHOOL,0.4928854253384095
174 LOMPANG ROAD,ZHENGHUA PRIMARY SCHOOL,0.3182441180745841
177 LOMPANG ROAD,ZHENGHUA PRIMARY SCHOOL,0.4254213954782781
606 SENJA ROAD,WEST VIEW PRIMARY SCHOOL,0.3109091241445224
650 SENJA LINK,WEST SPRING PRIMARY SCHOOL,0.4260141503287682
228 PENDING ROAD,BUKIT PANJANG PRIMARY SCHOOL,0.25948086687264843
151 PETIR ROAD,ZHENGHUA PRIMARY SCHOOL,0.43560235514605894
4 TOH YI DRIVE,PEI HWA PRESBYTERIAN PRIMARY SCHOOL,0.1933322690196759
5 FARRER ROAD,NANYANG PRIMARY SCHOOL,0.47687792225994047
15 TOH YI DRIVE,PEI HWA PRESBYTERIAN PRIMARY SCHOOL,0.487105420641565
9 JALAN KUKOH,RIVER VALLEY PRIMARY SCHOOL,0.7860774238607153
640 ROWELL ROAD,STAMFORD PRIMARY SCHOOL,0.4675337709471721
264 WATERLOO STREET,STAMFORD PRIMARY SCHOOL,0.7469320069679708
32 NEW MARKET ROAD,RIVER VALLEY PRIMARY SCHOOL,1.2634847419366069
